Project ID,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Project Name,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Documents,Data,Project Website
CAR1239,CAOD5339,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2016-3,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"Bowling Green, Ohio",OHIO,US,,,,133239,08/09/2016,10/24/2016,View,View,
CAR1248,CAOD5348,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2016-4,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,96564,12/19/2016,03/07/2017,View,View,www.agas.com
CAR1267,CAOD5347,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2017-5,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,El Dorado,ARKANSAS,US,,,,50793,07/18/2017,06/07/2018,View,View,www.agasamericas.com
CAR1269,CAOD5369,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2017-7,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,33184,07/21/2017,11/22/2017,View,View,www.agasamericas.com
CAR1308,CAOD6308,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2018-6,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"Wood County, Bowling Green",OHIO,US,,,,60855,06/08/2018,08/21/2018,View,View,www.agasamericas.com
CAR1319,CAOD6319,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2019-2,Coolgas,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Inactive,"Wood County, Bowling Green, Ohio",OHIO,US,,,,,09/20/2018,,View,View,www.agasamericas.com
CAR596,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas India ODS Project 1,,,"First Environment, Inc.",Ozone Depleting Substances - Article 5 Imports,Completed,Not ARB Eligible,India,ARKANSAS,US,,,Reporting period ended 3/2010. Project completed.,683087,03/04/2010,05/12/2010,View,View,www.coolgas.com
CAR597,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas India ODS project 2,,,"First Environment, Inc.",Ozone Depleting Substances - Article 5 Imports,Completed,Not ARB Eligible,India,ARKANSAS,US,,,Reporting period ended 4/2011. Project completed.,551802,03/04/2010,10/22/2010,View,View,
CAR1023,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas ODS 2013 Project #1,"Coolgas, inc",none,,Ozone Depleting Substances - U.S.,Completed,Not ARB Eligible,Bowling Green,OHIO,US,,,,108627,10/17/2013,06/04/2014,View,View,www.coolgas.com
CAR905,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas US ODS Project 1,,,,Ozone Depleting Substances - U.S.,Completed,Not ARB Eligible,"El Dorado, AR",ARKANSAS,US,,,,197988,09/30/2011,01/10/2012,View,View,
